"Series Data"
"D:\Ocean\Data\AGF 211 2024\STJ24000.000"
"Broadband 614.4 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:06.00"
"First Ensemble Date = 24/04/05"
"First Ensemble Time = 08:02:51.90"
"Ensemble Interval (s) = "	300.00
"1st Bin Range (m) = "	3.07
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Pit"	"Rol"	"Hea"	"Tem"	"Dep"	"Ori"	"BIT"	"Bat"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"EAA"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"C5"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"
									"deg"	"deg"	"deg"	"deg"	"m"	""	""	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"cnt"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"
																	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25

1	24	04	05	08	02	51	90		-8.00	6.14	222.05	7.03	0.000	0	0	154	40	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	6	7	6	7	7	7	6	7	7	7	7	7	7	7	7	6	7	7	6	7	7	6	7	6	6																																																																																																																																																						
2	24	04	05	08	07	51	90		11.46	7.29	267.38	5.83	0.000	0	0	153	40	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	7	7	7	6	7	7	6	6	6	7	7	6	7	7	6	7	7	6	7	7	6	7	7	7	8																																																																																																																																																						
3	24	04	05	08	12	51	90		12.05	4.07	239.20	5.15	0.072	0	0	140	52	51	49	47	46	45	44	44	44	43	43	43	43	42	42	42	42	42	42	42	42	42	42	42	42	28	28	28	28	27	26	24	24	21	19	17	15	15	12	10	10	8	8	8	7	7	8	7	8	7	-1	-1	-5	-14	-1	26	3	-9	-2	-27	50															8	20	-4	8	10	23	14	-14	-6	12	114															1	2	5	3	4	4	1	1	11	-6	27															-2	-4	-7	3	11	12	1	-5	8	0																8	20	6	16	10	35	14	17	6	30	124															352.90	357.10	231.30	299.70	354.30	48.50	12.10	212.70	198.40	294.00	23.70														
4	24	04	05	08	17	51	90		-1.26	-1.81	151.33	1.40	0.761	0	0	140	101	92	80	70	64	58	55	52	50	48	46	46	45	44	43	43	43	43	42	42	42	42	42	42	42	126	125	124	122	118	112	106	98	87	76	64	56	49	31	26	20	16	12	10	8	8	8	8	8	10	-20	-17	-24	-20	-20	-25	-25	-29	-32	-12	-9	-15														38	39	41	48	42	40	36	41	38	32	34	8														1	1	2	0	0	1	0	4	3	3	1	28														-12	-4	2	2	-8	0	-7	3	20	-4	20															43	43	48	52	47	47	44	50	50	34	35	17														332.20	336.40	329.70	337.40	334.50	328.00	325.20	324.70	319.90	339.40	345.20	298.10													
5	24	04	05	08	22	51	90		-2.76	-3.16	148.41	0.61	0.760	0	0	140	100	90	78	69	62	58	55	53	50	48	46	46	44	44	44	43	43	43	43	42	42	42	43	43	42	125	124	124	122	118	112	106	98	86	76	62	55	45	32	25	20	16	13	11	9	8	8	8	10	9	-21	-19	-14	-21	-16	-18	-32	-18	-15	-17	-13															37	44	37	46	34	47	43	41	40	54	58															1	0	-3	0	1	-1	-1	0	-2	-3	-4															3	1	-2	-6	-5	-14	-4	-4	-18	-9	60															43	48	40	51	38	50	54	45	43	57	59															330.40	336.60	339.30	335.50	334.80	339.00	323.30	336.30	339.40	342.50	347.40														
6	24	04	05	08	27	51	90		-2.86	-3.21	148.81	0.11	0.757	0	0	140	101	92	79	70	63	59	55	52	50	49	47	46	45	44	44	43	43	43	43	42	42	42	42	42	42	126	124	124	122	117	113	107	98	87	77	66	54	46	32	23	18	13	11	9	8	7	6	7	6	4	-13	-4	-15	-14	-23	-19	-22	-33	-44	-14	-20															44	47	45	46	39	44	49	57	41	62	65															1	0	-1	0	0	-1	0	0	2	1	-4															1	5	-5	2	-2	-9	2	-7	-11	10	11															46	47	47	48	45	48	54	66	60	64	68															343.50	355.10	341.60	343.10	329.50	336.60	335.80	329.90	313.00	347.30	342.90														
7	24	04	05	08	32	51	90		-2.89	-3.20	149.05	-0.09	0.775	0	0	140	99	90	78	69	63	59	56	53	50	48	47	46	45	44	44	43	43	43	43	43	42	42	42	42	42	126	125	124	122	118	113	108	100	87	78	62	54	46	30	24	18	14	11	8	8	8	7	7	6	4	-19	-26	-9	-27	-20	-28	-30	-35	-45	-30	-14															48	57	48	44	39	42	47	38	42	49	44															0	2	1	1	2	-2	1	1	2	4	-1															0	-1	-3	-1	6	-6	2	0	-7	11																52	63	49	52	44	50	56	52	62	57	46															338.40	335.50	349.40	328.50	332.90	326.30	327.40	317.40	313.00	328.50	342.30														
