Source File: C:\Users\MarcosP\Documents\Vemco\LoggerVUE\Minilog-II-T_358952_20240407_1.vld
Source Device: Minilog-II-T-358952
Study Description: 
Minilog Initialized: 2024-04-03 20:23:38 (UTC+2)
Study Start Time: 2024-04-04 12:00:00
Study Stop Time: 2024-04-07 15:55:00
Sample Interval: 00:05:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (C)
2024-04-04,12:00:00,1.07
2024-04-04,12:05:00,0.95
2024-04-04,12:10:00,0.84
2024-04-04,12:15:00,0.73
2024-04-04,12:20:00,0.63
2024-04-04,12:25:00,0.51
2024-04-04,12:30:00,0.40
2024-04-04,12:35:00,0.29
2024-04-04,12:40:00,0.16
2024-04-04,12:45:00,0.04
2024-04-04,12:50:00,-0.07
2024-04-04,12:55:00,-0.19
2024-04-04,13:00:00,-0.30
2024-04-04,13:05:00,-0.40
2024-04-04,13:10:00,-0.52
2024-04-04,13:15:00,-0.96
2024-04-04,13:20:00,-1.63
2024-04-04,13:25:00,-2.24
2024-04-04,13:30:00,-2.72
2024-04-04,13:35:00,-3.12
2024-04-04,13:40:00,-3.48
2024-04-04,13:45:00,-3.78
2024-04-04,13:50:00,-3.98
2024-04-04,13:55:00,-4.13
2024-04-04,14:00:00,-4.24
2024-04-04,14:05:00,-4.33
2024-04-04,14:10:00,-4.36
2024-04-04,14:15:00,-4.36
2024-04-04,14:20:00,-4.54
2024-04-04,14:25:00,-4.60
2024-04-04,14:30:00,-4.27
2024-04-04,14:35:00,-3.86
2024-04-04,14:40:00,-3.52
2024-04-04,14:45:00,-1.95
2024-04-04,14:50:00,-1.68
2024-04-04,14:55:00,-1.62
2024-04-04,15:00:00,-1.61
2024-04-04,15:05:00,-1.61
2024-04-04,15:10:00,-1.62
2024-04-04,15:15:00,-1.62
2024-04-04,15:20:00,-1.63
2024-04-04,15:25:00,-1.63
2024-04-04,15:30:00,-1.65
2024-04-04,15:35:00,-1.66
2024-04-04,15:40:00,-1.67
2024-04-04,15:45:00,-1.67
2024-04-04,15:50:00,-1.67
2024-04-04,15:55:00,-1.68
2024-04-04,16:00:00,-1.67
2024-04-04,16:05:00,-1.66
2024-04-04,16:10:00,-1.66
2024-04-04,16:15:00,-1.67
2024-04-04,16:20:00,-1.67
2024-04-04,16:25:00,-1.67
2024-04-04,16:30:00,-1.66
2024-04-04,16:35:00,-1.66
2024-04-04,16:40:00,-1.66
2024-04-04,16:45:00,-1.66
2024-04-04,16:50:00,-1.68
2024-04-04,16:55:00,-1.68
2024-04-04,17:00:00,-1.68
2024-04-04,17:05:00,-1.68
2024-04-04,17:10:00,-1.68
2024-04-04,17:15:00,-1.68
2024-04-04,17:20:00,-1.68
2024-04-04,17:25:00,-1.69
2024-04-04,17:30:00,-1.69
