Seaguard RCM SW
Product number:	4430
Serial number:	1711

		System Parameters(0)				Doppler Current Sensor #726(726)															Conductivity #1330(1330)		Temperature #856(856)		Pressure #1140(1140)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Strength X(dB)	Strength Y(dB)	Conductivity(mS/cm)	Temperature(Deg.C)	Temperature(Deg.C)	Rawdata Temperature	Pressure(kPa)	Temperature(DegC)
0	04.04.24 12:05:00	8.953	8613888	299994	0.000	410.817	347.556	401.166	-88.525	123.874	-49.701	-40.497	850.643	-64.080	5	89.832	90.000	0.858	-63.850	-64.311	-0.006	12.323	11.777	10298448	100.713	11.688
1	04.04.24 12:10:00	8.971	8617984	299993	0.000	2121.011	192.593	-2069.990	-462.416	124.655	-49.728	-40.500	0.000	-70.002	1	89.973	90.000	0.272	-69.711	-70.293	-0.005	12.090	11.598	10328166	100.698	11.468
2	04.04.24 12:15:00	8.971	8617984	299993	0.000	0.000	0.000	0.000	0.000	124.881	-49.735	-40.515	0.000	-80.000	0	90.000	90.000	0.000	-80.000	-80.000	-0.004	11.847	11.397	10361342	100.695	11.229
3	04.04.24 12:20:00	8.977	8622080	299994	0.000	141.110	3.207	140.889	7.894	124.122	-49.746	-40.513	135.413	-58.977	4	89.919	90.000	0.412	-62.711	-55.242	-0.005	11.595	11.156	10401026	100.703	10.958
4	04.04.24 12:25:00	8.977	8626176	299993	0.000	7993.787	183.744	-7976.723	-522.040	124.730	-49.744	-40.509	0.000	-70.866	1	89.970	90.000	0.298	-70.712	-71.021	-0.002	11.358	10.896	10443901	100.673	10.731
5	04.04.24 12:30:00	8.977	8626176	299993	0.000	1877.448	185.990	-1867.196	-195.925	124.412	-49.749	-40.538	934.237	-70.945	3	89.853	90.000	0.873	-70.697	-71.194	-0.003	11.224	11.137	10404172	100.654	10.696
6	04.04.24 12:35:00	8.977	8626176	299994	0.000	1102.130	184.534	-1098.682	-87.115	123.046	-49.735	-40.503	1258.749	-70.834	10	89.603	90.000	1.326	-70.577	-71.091	-0.005	11.594	11.599	10327909	100.619	11.173
7	04.04.24 12:40:00	8.971	8626176	299993	0.000	143.228	3.962	142.886	9.897	121.504	-49.706	-40.504	1133.292	-70.717	18	89.105	90.000	2.379	-70.384	-71.049	-0.004	11.753	11.136	10404418	100.674	11.274
8	04.04.24 12:45:00	8.971	8626176	299993	0.000	385.835	9.937	380.046	66.583	129.326	-49.740	-40.502	494.877	-71.025	7	89.669	90.000	1.401	-70.783	-71.267	-0.002	11.517	10.964	10432805	100.699	10.945
